ID,Sex,Age,ParticipantLTR,PartnerNumber,HadSex,AgeSex,Orientation,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,GenHealth,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24,CMVS25,CMVS26
593,2,31,1,1,1,16,1,1,1,1,1,6,2,2,6,2,5,6,2,3,6,3,5,2,7,2,4,5,1,6,2,2,5,6,6,4,4
594,2,28,1,3,1,18,1,11,1,1,2,6,6,6,6,6,6,7,7,7,7,6,2,4,5,7,7,7,1,1,7,6,7,6,4,6,6
595,2,41,2,2,1,37,1,3,0,0,3,6,5,6,6,6,6,4,4,5,3,2,2,3,4,6,7,7,3,4,6,4,3,6,5,4,5
596,1,25,1,3,1,20,2,3,2,3,4,6,5,6,5,6,5,6,5,6,5,2,5,6,5,6,6,5,6,5,6,5,6,5,2,3,2
597,2,21,1,4,1,18,1,1,1,2,5,6,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3
598,2,33,1,2,1,16,1,1,1,1,2,6,6,6,6,6,4,3,4,5,6,6,2,3,3,6,6,6,2,2,6,4,6,4,4,2,2
599,2,29,1,6,1,18,1,7,1,2,3,6,5,5,2,5,4,3,4,3,3,3,7,7,4,1,1,1,4,2,1,2,6,2,2,4,3
600,2,30,1,2,1,18,1,2,1,5,2,6,5,4,5,5,7,7,7,7,6,5,5,4,7,6,3,3,2,3,5,4,6,4,1,1,5
601,1,34,1,10,1,18,2,10,1,5,4,6,4,3,3,4,1,4,4,5,3,4,5,5,4,3,4,3,4,5,4,5,4,3,6,4,3
602,1,23,2,4,1,17,2,4,2,8,3,6,4,1,7,7,4,2,2,1,1,2,4,2,3,1,4,5,5,7,7,2,2,6,4,7,1
603,2,28,1,3,1,17,1,7,1,1,4,6,5,5,5,5,1,4,5,5,5,6,5,5,5,5,5,5,4,5,4,5,2,3,5,6,5
604,2,36,1,5,1,16,1,3,1,15,5,6,6,6,7,6,7,5,5,5,5,5,1,3,1,7,7,7,1,1,6,6,7,6,2,5,2
605,1,32,1,2,1,25,2,2,1,0,3,6,4,4,5,3,4,3,3,5,6,5,3,2,5,3,3,4,3,4,3,3,3,3,4,6,3
606,2,19,2,0,2, ,1,0,0,0,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1
607,2,45,2,3,1,24,1,17,1,4,3,7,7,7,7,7,3,5,5,5,4,4,7,4,7,7,7,7,1,1,7,7,7,7,1,7,2
608,1,34,2,2,1,21,2,2,0,0,3,7,7,7,7,6,6,7,6,7,6,6,4,4,4,6,7,6,2,2,7,6,7,7,6,7,6
609,1,37,1,2,1,21,2,2,2,10,4,7,7,7,7,7,7,7,7,5,6,1,7,4,5,6,6,7,6,4,6,6,3,6,2,1,2
610,1,36,1,4,1,21,2,4,1,20,5,7,7,7,7,7,7,1,1,1,1,7,7,7,7,1,1,1,7,7,7,6,7,7,7,7,7
611,2,26,1,6,1,15,1,2,1,4,5,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,1,1,1,7,7,7,7,7,1,1,1
612,2,40,2,20,1,15,1,20,1,0,2,7,7,7,7,7,7,7,7,7,7,7,2,1,2,6,7,7,1,1,7,7,7,6,6,7,5
613,2,33,1,15,1,16,1,15,1,1,5,7,7,7,4,4,2,2,1,1,1,7,7,4,7,1,1,1,7,7,2,7,7,7,7,7,7
614,2,29,1,1,1,19,1,1,1,20,4,7,7,7,7,7,7,7,7,7,7,2,6,7,7,6,6,6,6,6,6,7,6,6,2,1,2
615,2,29,2,1,1,20,1,11,1,0,5,7,7,7,4,4,7,7,7,7,7,7,1,3,3,7,7,7,1,1,7,7,7,7,7,7,1
616,2,27,1,1,1,24,1,1,1,1,5,7,5,5,5,5,5,7,5,4,5,3,7,6,6,7,5,6,7,7,4,5,5,5,3,4,3
617,2,35,1,0,1,20,1,3,1,30,3,7,7,7,6,7,2,5,3,6,2,2,2,1,1,6,6,6,1,1,1,1,1,1,1,1,1
618,1,29,1,1,2, ,2,1,1,0,5,7,7,7,6,7,7,7,7,6,7,1,6,7,6,6,6,6,7,7,7,7,7,6,2,2,1
619,2,38,1,11,1,15,1,11,1,20,4,7,5,4,4,4,1,7,7,7,4,7,7,7,6,4,4,1,4,4,5,5,5,4,4,7,6
620,1,42,2,1,1,38,2,1,0,0,4,7,6,6,6,6,7,6,6,7,6,6,2,2,2,7,7,7,2,2,7,6,4,7,2,7,4
621,2,34,1,5,1,17,1,9,1,3,4,7,5,4,3,5,3,7,7,5,4,4,7,7,5,2,2,2,5,4,7,6,4,7,7,6,6
622,1,62,2,10,1,18,2,10,1,4,3,7,7,6,6,7,2,5,5,6,6,2,7,6,5,6,5,6,6,7,7,6,6, ,7,6,7
623,2,53,1,9,1,15,1,19,1,5,4,7,7,7,7, ,4,5,5,6,2,2,6,1,1,4,6,2,2,1,1,1,4,2,1,7,7
624,1,27,2,2,1,22,2,1,0,0,3,7,6,7,7,7,4,7,7,7,6,7,5,7,7,7,7,3,1,1,7,7,7,7,7,7,7
625,2,19,2,0,2, ,1,0,0,0,3,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,4,1,1,1
626,2,71,2,5,1,34,1,1,0,0,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,7, ,7,7,1,1,1
627,2,35,1,3,1,13,1,3,1,15,3,7,7,7,7,7,7,7,7,7,7,7,1,4,7,7,7,7,7,7,7,7,7,7,1,1,1
628,1,27,1,1,1,21,2,1,1,1,5,7,7,7,7,6,6,7,7,7,7,2,6,7,7,6,7,7,6,7,6,7,7,7,1,1,2
629,1,34,1,1,1,21,2,1,1,12,3,7,5,4,7,7,7,5,5,5,5,5,1,1,1,5,5,5,1,1,7,4,7,7,1,4,3
630,1,36,1,2,1,16,2,4,1,20,5,7,5,5,7,7,7,3,5,6,5,1,5,7,4,7,7,5,5,4,5,6,5,4,4,2,4
631,2,36,1,7,1,13,1,6,1,3,3,7,7,6,7,7,7,6,4,4,3,7,7,7,6,3,2,1,6,5,7,7,7,7,7,6,7
